close	open	ctc	otc	cto	oto	date	wkday	d1	d2	d3	d4	d5
16.39	14.68	0.094639264	0.11018537	-0.015546106	0.145671741	2020203	3	0	1	0	0	0
14.91	12.69	0.166749272	0.161217847	0.005531425	0.015085637	2020202	2	1	0	0	0	0
12.62	12.5	0.071429617	0.009554213	0.061875404	0.079043207	2020129	6	0	0	0	0	1
11.75	11.55	0.01803398	0.017167804	0.000866176	-0.028170877	2020127	4	0	0	1	0	0
11.54	11.88	-0.028194948	-0.029037053	0.000842105	-0.051672011	2020126	3	0	1	0	0	0
11.87	12.51	-0.03883181	-0.052514116	0.013682306	-0.024478127	2020125	2	1	0	0	0	0
12.34	12.82	-0.06205367	-0.038160433	-0.023893237	-0.040509933	2020122	6	0	0	0	0	1
13.13	13.35	0.027018239	-0.016616697	0.043634936	-0.005229747	2020121	5	0	0	0	1	0
12.78	13.42	-0.00624027	-0.048864683	0.042624413	0.084710814	2020120	4	0	0	1	0	0
12.86	12.33	0.031598205	0.042086402	-0.010488196	-0.004854378	2020119	3	0	1	0	0	0
12.46	12.39	0.033458853	0.005633818	0.027825036	-0.044206093	2020118	2	1	0	0	0	0
12.05	12.95	-0.079723474	-0.072031128	-0.007692346	-0.016086138	2020115	6	0	0	0	0	1
13.05	13.16	0.003838776	-0.008393792	0.012232568	0.019179721	2020114	5	0	0	0	1	0
13	12.91	0.024923408	0.006947153	0.017976256	0.021135816	2020113	4	0	0	1	0	0
12.68	12.64	-0.000788333	0.00315956	-0.003947893	-0.03955537	2020112	3	0	1	0	0	0
12.69	13.15	0.050091247	-0.035607477	0.085698724	0.013012047	2020111	2	1	0	0	0	0
12.07	12.98	-0.053238377	-0.072686676	0.019448299	0.030506863	2020108	6	0	0	0	0	1
12.73	12.59	0.008678555	0.011058565	-0.002380009	-0.045797681	2020107	5	0	0	0	1	0
12.62	13.18	-0.037329373	-0.043417672	0.006088299	0.025356718	2020106	4	0	0	1	0	0
13.1	12.85	0.020826052	0.019268419	0.001557633	0.013317862	2020105	3	0	1	0	0	0
12.83	12.68	0.042186916	0.01176023	0.030426687	-0.024153882	2020104	2	1	0	0	0	0
12.3	12.99	-0.072131572	-0.054580568	-0.017551004	0.061924543	2020101	6	0	0	0	0	1
13.22	12.21	0.069695517	0.079475546	-0.009780029	-0.08023169	2020031	5	0	0	0	1	0
12.33	13.23	-0.068181512	-0.070451661	0.002270149	0.005305052	2020030	4	0	0	1	0	0
13.2	13.16	0.006841532	0.003034904	0.003806628	0.011463633	2020029	3	0	1	0	0	0
13.11	13.01	0.035718083	0.007657005	0.028061077	-0.03919115	2020028	2	1	0	0	0	0
12.65	13.53	-0.080468278	-0.067252227	-0.013216051	-0.032718295	2020025	6	0	0	0	0	1
13.71	13.98	-0.021645867	-0.019502243	-0.002143624	-0.059024419	2020024	5	0	0	0	1	0
14.01	14.83	-0.031614856	-0.056880796	0.025265939	0.058309367	2020023	4	0	0	1	0	0
14.46	13.99	0.032328887	0.033043428	-0.000714541	-0.017712117	2020022	3	0	1	0	0	0
14	14.24	-0.017699577	-0.016997576	-0.000702001	0.002812941	2020021	2	1	0	0	0	0
14.25	14.2	0.032813215	0.003514942	0.029298273	0.029298273	2020018	6	0	0	0	0	1
13.79	13.79	0.00800878	0	0.00800878	-0.010818714	2020017	5	0	0	0	1	0
13.68	13.94	0.010286645	-0.018827493	0.029114138	0	2020016	4	0	0	1	0	0
13.54	13.94	-0.073316353	-0.029114138	-0.044202215	-0.116347285	2020015	3	0	1	0	0	0
14.57	15.66	-0.06702342	-0.07214507	0.00512165	-0.102482816	2020014	2	1	0	0	0	0
15.58	17.35	-0.120204862	-0.107604466	-0.012600396	-0.105475783	2020011	6	0	0	0	0	1
17.57	19.28	-0.059116907	-0.092875387	0.03375848	-0.033659475	2020010	5	0	0	0	1	0
18.64	19.94	-0.084325369	-0.067417955	-0.016907414	0.124260842	2020009	4	0	0	1	0	0
20.28	17.61	0.127071603	0.141168256	-0.014096653	-0.036793448	2020008	3	0	1	0	0	0
17.86	18.27	0.047000054	-0.022696795	0.069696849	-0.061043092	2020007	2	1	0	0	0	0
17.04	19.42	-0.115171386	-0.130739941	0.015568555	-0.034913741	2020004	6	0	0	0	0	1
19.12	20.11	-0.072612533	-0.050482296	-0.022130237	0.070023451	2020003	5	0	0	0	1	0
20.56	18.75	0.102338713	0.092153688	0.010185025	0.157355811	2020002	4	0	0	1	0	0
18.56	16.02	0.133531393	0.147170786	-0.013639393	-0.072814109	2020001	3	0	1	0	0	0
16.24	17.23	-0.058594164	-0.059174716	0.000580552	0.08854265	2019930	2	1	0	0	0	0
17.22	15.77	0.069117319	0.087962098	-0.018844779	-0.028751981	2019927	6	0	0	0	0	1
16.07	16.23	0.006868588	-0.009907202	0.01677579	-0.049288822	2019926	5	0	0	0	1	0
15.96	17.05	-0.066064612	-0.066064612	0	0.143552107	2019925	4	0	0	1	0	0
17.05	14.77	0.134118075	0.143552107	-0.009434032	-0.038517377	2019924	3	0	1	0	0	0
14.91	15.35	-0.027127036	-0.029083345	0.00195631	0.096353069	2019923	2	1	0	0	0	0
15.32	13.94	0.086536769	0.094396759	-0.00785999	-0.050360291	2019920	6	0	0	0	0	1
14.05	14.66	0.007142888	-0.042500301	0.049643188	0.003416471	2019919	5	0	0	0	1	0
13.95	14.61	-0.034522625	-0.046226717	0.011704092	-0.020996369	2019918	4	0	0	1	0	0
14.44	14.92	-0.015802459	-0.032700461	0.016898003	0.002012748	2019917	3	0	1	0	0	0
14.67	14.89	0.065493305	-0.014885255	0.08037856	0.050268758	2019916	2	1	0	0	0	0
13.74	14.16	-0.034338138	-0.030109801	-0.004228336	-0.036745902	2019913	6	0	0	0	0	1
14.22	14.69	-0.027056801	-0.032517566	0.005460764	-0.042644703	2019912	5	0	0	0	1	0
14.61	15.33	-0.039589202	-0.048105467	0.008516265	-0.012961944	2019911	4	0	0	1	0	0
15.2	15.53	-0.004594691	-0.021478209	0.016883518	0.017538611	2019910	3	0	1	0	0	0
15.27	15.26	0.017839918	0.000655093	0.017184825	-0.042341155	2019909	2	1	0	0	0	0
15	15.92	-0.08127272	-0.059525979	-0.021746741	-0.060920174	2019906	6	0	0	0	0	1
16.27	16.92	-0.063116182	-0.039173433	-0.02394275	-0.074572235	2019905	5	0	0	0	1	0
17.33	18.23	-0.126147011	-0.050629485	-0.075517526	-0.139547271	2019904	4	0	0	1	0	0
19.66	20.96	0.035200322	-0.064029745	0.099230066	0.155583003	2019903	3	0	1	0	0	0
18.98	17.94	0.059703023	0.056352937	0.003350087	-0.0584582	2019830	6	0	0	0	0	1
17.88	19.02	-0.07900965	-0.061808287	-0.017201362	-0.077369884	2019829	5	0	0	0	1	0
19.35	20.55	-0.048420956	-0.060168521	0.011747565	0.018168926	2019828	4	0	0	1	0	0
20.31	20.18	0.049972547	0.006421361	0.043551186	-0.007897376	2019827	3	0	1	0	0	0
19.32	20.34	-0.028070228	-0.051448562	0.023378334	0.230669341	2019826	2	1	0	0	0	0
19.87	16.15	0.17500066	0.207291007	-0.032290347	0.001859313	2019823	6	0	0	0	0	1
16.68	16.12	0.054200457	0.03414966	0.020050797	-0.053740669	2019822	5	0	0	0	1	0
15.8	17.01	-0.102190941	-0.073791466	-0.028399475	0.013613705	2019821	4	0	0	1	0	0
17.5	16.78	0.036071392	0.04201318	-0.005941788	-0.066287587	2019820	3	0	1	0	0	0
16.88	17.93	-0.090018305	-0.060345798	-0.029672507	-0.132973513	2019819	2	1	0	0	0	0
18.47	20.48	-0.136909546	-0.103301006	-0.03360854	-0.05231816	2019816	6	0	0	0	0	1
21.18	21.58	-0.042520268	-0.01870962	-0.023810649	0.192006863	2019815	5	0	0	0	1	0
22.1	17.81	0.232234523	0.215817511	0.016417012	-0.178007567	2019814	4	0	0	1	0	0
17.52	21.28	-0.185455909	-0.194424579	0.00896867	0.174644335	2019813	3	0	1	0	0	0
21.09	17.87	0.160095294	0.165675665	-0.005580372	-0.014996116	2019812	2	1	0	0	0	0
17.97	18.14	0.060798538	-0.009415744	0.070214282	-0.065089637	2019809	6	0	0	0	0	1
16.91	19.36	-0.141996351	-0.135303919	-0.006692432	-0.066924618	2019808	5	0	0	0	1	0
19.49	20.7	-0.034294838	-0.060232187	0.025937348	-0.074004447	2019807	4	0	0	1	0	0
20.17	22.29	-0.198143504	-0.099941795	-0.098201709	0.110407877	2019806	3	0	1	0	0	0
24.59	19.96	0.333872934	0.208609585	0.125263348	0.120730763	2019805	2	1	0	0	0	0
17.61	17.69	-0.014656407	-0.004532586	-0.010123821	0.137982859	2019802	6	0	0	0	0	1
17.87	15.41	0.103062592	0.14810668	-0.045044088	0.108176504	2019801	5	0	0	0	1	0
16.12	13.83	0.145298332	0.153220591	-0.00792226	0.071941124	2019731	4	0	0	1	0	0
13.94	12.87	0.082976227	0.079863384	0.003112843	0.057569852	2019730	3	0	1	0	0	0
12.83	12.15	0.053634302	0.054457009	-0.000822707	-0.034779081	2019729	2	1	0	0	0	0
12.16	12.58	-0.046594774	-0.033956375	-0.012638399	0.027398974	2019726	6	0	0	0	0	1
12.74	12.24	0.054023615	0.040037373	0.013986242	-0.044735894	2019725	5	0	0	0	1	0
12.07	12.8	-0.043767115	-0.058722136	0.014955021	-0.047300961	2019724	4	0	0	1	0	0
12.61	13.42	-0.070419292	-0.062255982	-0.008163311	-0.080844862	2019723	3	0	1	0	0	0
