	SMALL LoBM	ME1 BM2	SMALL HiBM	BIG LoBM	ME2 BM2	BIG HiBM	MKT	SMB	HML	RF
199001	89.66	93.37	55.6	3901.78	3405.01	3066.42	-7.85	-1.29	0.87	0.57
199002	82.19	86.06	50.93	3604.91	3181.6	2836.44	1.11	1.03	0.61	0.57
199003	84.35	88.13	52.3	3608.77	3241.51	2892.33	1.83	1.52	-2.9	0.64
199004	89	91.77	53.35	3750.37	3286.67	2896.05	-3.36	-0.5	-2.55	0.69
199005	86.66	88.92	51.57	3708.73	3167.04	2753.47	8.42	-2.57	-3.74	0.68
199006	95.12	94.81	54.16	4101.14	3427.45	2943.66	-1.09	1.43	-1.94	0.63
199007	86.58	97.88	53.42	3799.59	3588.39	2347.03	-1.9	-3.21	-0.01	0.68
199008	82.92	94.04	51.21	3771.89	3590.89	2301.7	-10.15	-3.58	1.58	0.66
199009	70.87	82.28	45.28	3397.17	3308.96	2057.15	-6.12	-3.67	0.73	0.6
199010	63.53	75.47	41.36	3203.31	3180.69	1917.08	-1.92	-5.51	0.22	0.68
199011	60.15	71.13	38.34	3209.45	3123.35	1923.71	6.35	0.33	-3.16	0.57
199012	65.69	75.4	40.28	3447.95	3316.83	2008.73	2.46	0.79	-1.54	0.6
199101	68.81	77.86	41.49	3562.37	3387.8	2037.67	4.69	3.79	-1.84	0.52
199102	75.41	84.55	44.77	3784.21	3488.85	2117.34	7.19	3.95	-0.54	0.48
199103	84.66	93.27	50.07	4063.03	3697.71	2254.19	2.65	3.89	-1.23	0.44
199104	91.85	98.2	53.32	4218.68	3732.06	2307.76	-0.28	0.5	1.42	0.53
199105	91.92	99.77	54.45	4202.81	3757.13	2307.26	3.65	-0.34	-0.57	0.47
199106	96.27	104.78	56.07	4390.54	3847.32	2414.62	-4.94	0.07	1.21	0.42
199107	86.21	97.45	51.69	4103.35	3416.47	2066.79	4.24	-0.93	-1.25	0.49
199108	90.25	101.06	53.43	4330.57	3545.69	2144.28	2.32	1.59	-0.78	0.46
199109	94.23	104.14	55.91	4459.42	3590.35	2174.41	-1.59	1.63	-1	0.46
199110	95.8	104.89	55.27	4352.46	3584.19	2127.19	1.29	0.9	-0.43	0.42
199111	99.1	107.8	56.54	4413.89	3635.27	2159.07	-4.19	-0.48	-1.93	0.39
199112	95.2	103.85	53.82	4311.66	3450.91	2038.03	10.84	-2.24	-4.03	0.38
199201	104.64	110.51	58.16	4923.56	3706.07	2197.47	-0.59	8.47	4.51	0.34
199202	112.7	119.28	64.56	4808.98	3642.62	2278.58	1.09	0.88	6.37	0.28
199203	113.61	122.56	69.79	4818.77	3649.68	2434.18	-2.66	-1.03	3.65	0.34
199204	107.5	121.37	69.79	4674.62	3602.57	2377.9	1.07	-6.12	4.31	0.32
199205	103.51	118.5	68.91	4682.27	3773.1	2472.53	0.3	0.39	1.28	0.28
199206	104.49	120.21	70.94	4714.64	3777.56	2477.51	-2.34	-3.09	3.4	0.32
199207	101.54	117.51	60.28	4398.39	3753.79	2561.34	3.77	-0.44	-0.53	0.31
199208	104.52	122.14	63.17	4586.33	3920.76	2608.24	-2.38	-0.12	-1.03	0.26
199209	100.28	120.03	61.7	4545.77	3817.82	2469.22	1.19	0.56	-0.21	0.26
199210	102.12	122.41	62.64	4620.78	3851	2492.73	1.02	2.05	-2.1	0.23
199211	106.89	125.35	64.02	4728.22	3807.85	2509.74	4.13	3.7	-1.48	0.23
199212	117.42	133.61	68.34	4936.58	3885.14	2623.05	1.53	1.64	2.52	0.28
199301	120.77	137.86	71.86	4960.86	3967.74	2705.76	0.93	2.03	5.87	0.23
199302	122.31	143.54	76.88	4901.68	4020.32	2845.81	0.12	-3.43	6.42	0.22
199303	114.98	143.46	77.92	4781.94	4176.33	2935.01	2.3	0.23	1.22	0.25
199304	117.85	146.9	80.74	4854.92	4293.75	3006.89	-3.05	-0.7	2.61	0.24
199305	113.56	143.3	78.73	4607.64	4249.47	2972.49	2.89	1.96	-3.41	0.22
199306	121.83	147.56	80.92	4784.13	4329.81	2982.77	0.31	-0.31	2.62	0.25
199307	125.1	137.43	78.45	4582.51	4073.22	3407.36	-0.34	0.93	3.25	0.24
